time [MJD]                x [AU]                    y [AU]                    z [AU]                   
47854.0000512037          0.466199673737645         0.870320305546611         -3.13873834616585e-06    
47854.5259771296          0.458010653603573         0.874531756346417         7.2746144520897e-05      
47855.0519030556          0.449803879139582         0.878685792824801         -8.65133082724381e-06    
47855.5778289815          0.441655988119257         0.882704256253459         2.07809737815947e-05     
47856.1037549074          0.433322724756508         0.886706684389191         6.49035263621141e-05     
47856.6296808333          0.425043976720659         0.890617614195872         -2.07810140759995e-05    
47857.1556067593          0.416759058601817         0.894414954983239         4.56707550685959e-05     
47857.6815326852          0.40830688116611          0.898197712292141         4.60164329226912e-05     
47858.2074586111          0.399958646716089         0.901862291588274         -2.07733290204088e-05    
47858.733384537           0.391529417850345         0.905441598440133         6.4841006028887e-05      
47859.259310463           0.38298703701139          0.908992971223954         2.11627633275477e-05     
47859.7852363889          0.374561557221856         0.912412266043902         -8.49097847122e-06       
47860.3111623148          0.365991179982208         0.915773086495156         7.30168639436423e-05     
47860.8370882407          0.357384704963793         0.919082577866834         -2.89172175242003e-06    
47861.3630141667          0.34886755195222          0.922260425099007         1.28098290474517e-05     
47861.8889400926          0.340170999909475         0.925398594445047         6.77865093139432e-05     
47862.4148660185          0.331518365583906         0.92845873080737          -1.95458783952739e-05    
47862.9407919444          0.322894125606919         0.93139973627742          3.72494099643857e-05     
47863.4667178704          0.314096326143197         0.934308270052406         5.03790780407246e-05     
47863.9926437963          0.305403950250304         0.937115431655138         -2.426763413206e-05      
47864.5185697222          0.296662333912484         0.939823116496833         5.79867687745757e-05     
47865.0444956482          0.287793421934117         0.942493828745791         2.53947001987681e-05     
47865.5704215741          0.279055963805246         0.945048003232914         -1.57723228005045e-05    
47866.0963475             0.270196754871032         0.9475236122181           6.90498552938162e-05     
47866.6222734259          0.261285675512723         0.949948858962274         -3.08474620374738e-07    
47867.1481993519          0.252489108385924         0.952252569899016         3.57006143864118e-06     
47867.6741252778          0.24352444091249          0.954494745169765         6.71278909562364e-05     
