T		 band 1		 band 2		 band 3		 band 4		 band 5		 band 6		 band 7		 band 8		 band 9		 band 10
283.92     15.79853   1.70164    1.40369    0.99716    0.92617    1.33158    1.32742    1.16481    0.95196    1.04904   
288.69     14.66317   1.67194    1.38391    0.99626    0.92643    1.34113    1.32965    1.16538    0.95202    1.04916   
293.47     13.64772   1.64404    1.36535    0.99543    0.92684    1.35043    1.33180    1.16594    0.95209    1.04929   
298.24     12.73654   1.61781    1.34790    0.99467    0.92739    1.35948    1.33388    1.16648    0.95215    1.04941   
303.02     11.91638   1.59311    1.33149    0.99398    0.92806    1.36828    1.33589    1.16700    0.95221    1.04953   
307.79     11.17594   1.56982    1.31604    0.99334    0.92884    1.37685    1.33785    1.16751    0.95227    1.04964   
312.56     10.50557   1.54785    1.30146    0.99276    0.92971    1.38520    1.33974    1.16800    0.95233    1.04975   
317.34     9.89702    1.52708    1.28771    0.99224    0.93068    1.39333    1.34157    1.16847    0.95238    1.04986   
322.11     9.34314    1.50743    1.27472    0.99176    0.93173    1.40125    1.34335    1.16893    0.95244    1.04996   
326.88     8.83779    1.48883    1.26243    0.99132    0.93285    1.40896    1.34508    1.16938    0.95249    1.05006   
331.66     8.37561    1.47119    1.25080    0.99093    0.93404    1.41648    1.34676    1.16981    0.95254    1.05016   
336.43     7.95197    1.45446    1.23978    0.99057    0.93528    1.42382    1.34839    1.17023    0.95259    1.05025   
341.21     7.56281    1.43856    1.22934    0.99025    0.93657    1.43096    1.34997    1.17064    0.95264    1.05034   
345.98     7.20459    1.42345    1.21943    0.98996    0.93791    1.43794    1.35151    1.17103    0.95268    1.05043   
350.75     6.87419    1.40907    1.21001    0.98970    0.93929    1.44474    1.35301    1.17142    0.95273    1.05052   
355.53     6.56886    1.39538    1.20107    0.98947    0.94071    1.45138    1.35447    1.17179    0.95277    1.05060   
360.30     6.28619    1.38233    1.19257    0.98927    0.94215    1.45785    1.35588    1.17216    0.95282    1.05068   
365.08     6.02404    1.36988    1.18447    0.98909    0.94363    1.46418    1.35726    1.17251    0.95286    1.05076   
369.85     5.78049    1.35800    1.17677    0.98894    0.94513    1.47035    1.35860    1.17286    0.95290    1.05084   
374.62     5.55388    1.34665    1.16942    0.98880    0.94664    1.47638    1.35991    1.17320    0.95294    1.05092   
379.40     5.34268    1.33580    1.16242    0.98869    0.94818    1.48227    1.36119    1.17352    0.95298    1.05099   
384.17     5.14556    1.32542    1.15574    0.98859    0.94973    1.48802    1.36243    1.17384    0.95301    1.05106   
388.94     4.96131    1.31548    1.14937    0.98852    0.95129    1.49365    1.36364    1.17415    0.95305    1.05113   
393.72     4.78885    1.30597    1.14328    0.98846    0.95286    1.49914    1.36483    1.17446    0.95309    1.05120   
398.49     4.62720    1.29684    1.13746    0.98841    0.95444    1.50452    1.36598    1.17475    0.95312    1.05127   
403.27     4.47549    1.28810    1.13190    0.98838    0.95602    1.50977    1.36711    1.17504    0.95316    1.05133   
408.04     4.33294    1.27970    1.12657    0.98836    0.95761    1.51491    1.36820    1.17532    0.95319    1.05140   
412.81     4.19882    1.27164    1.12148    0.98835    0.95920    1.51994    1.36928    1.17560    0.95322    1.05146   
417.59     4.07249    1.26390    1.11660    0.98835    0.96078    1.52486    1.37033    1.17587    0.95325    1.05152   
422.36     3.95337    1.25646    1.11193    0.98837    0.96237    1.52967    1.37135    1.17613    0.95329    1.05158   
427.14     3.84092    1.24930    1.10746    0.98840    0.96396    1.53438    1.37235    1.17639    0.95332    1.05164   
431.91     3.73465    1.24241    1.10316    0.98843    0.96554    1.53900    1.37333    1.17664    0.95335    1.05169   
436.68     3.63413    1.23578    1.09905    0.98847    0.96711    1.54351    1.37428    1.17689    0.95338    1.05175   
441.46     3.53894    1.22939    1.09510    0.98852    0.96868    1.54794    1.37522    1.17713    0.95340    1.05180   
446.23     3.44872    1.22324    1.09131    0.98858    0.97025    1.55227    1.37613    1.17736    0.95343    1.05186   
451.01     3.36313    1.21731    1.08767    0.98865    0.97180    1.55651    1.37703    1.17759    0.95346    1.05191   
455.78     3.28187    1.21159    1.08417    0.98872    0.97335    1.56067    1.37791    1.17781    0.95349    1.05196   
460.55     3.20463    1.20607    1.08081    0.98880    0.97489    1.56475    1.37876    1.17803    0.95351    1.05201   
465.33     3.13118    1.20074    1.07758    0.98888    0.97643    1.56874    1.37960    1.17825    0.95354    1.05206   
470.10     3.06125    1.19559    1.07447    0.98897    0.97795    1.57266    1.38043    1.17846    0.95356    1.05211   
474.87     2.99463    1.19062    1.07148    0.98907    0.97946    1.57650    1.38123    1.17867    0.95359    1.05215   
479.65     2.93111    1.18582    1.06861    0.98917    0.98096    1.58027    1.38202    1.17887    0.95361    1.05220   
484.42     2.87051    1.18118    1.06584    0.98927    0.98245    1.58396    1.38279    1.17907    0.95364    1.05224   
489.20     2.81264    1.17668    1.06318    0.98938    0.98393    1.58759    1.38355    1.17926    0.95366    1.05229   
493.97     2.75736    1.17234    1.06062    0.98949    0.98539    1.59114    1.38429    1.17945    0.95368    1.05233   
498.74     2.70449    1.16813    1.05814    0.98960    0.98685    1.59463    1.38502    1.17964    0.95371    1.05237   
503.52     2.65391    1.16406    1.05576    0.98972    0.98829    1.59806    1.38574    1.17982    0.95373    1.05242   
508.29     2.60549    1.16011    1.05347    0.98984    0.98972    1.60142    1.38644    1.18000    0.95375    1.05246   
513.07     2.55910    1.15629    1.05126    0.98996    0.99114    1.60472    1.38713    1.18018    0.95377    1.05250   
517.84     2.51463    1.15259    1.04913    0.99009    0.99255    1.60796    1.38780    1.18035    0.95379    1.05254   
522.61     2.47198    1.14900    1.04707    0.99021    0.99394    1.61114    1.38846    1.18052    0.95381    1.05257   
527.39     2.43105    1.14552    1.04508    0.99034    0.99532    1.61427    1.38911    1.18069    0.95383    1.05261   
532.16     2.39174    1.14214    1.04317    0.99047    0.99669    1.61734    1.38975    1.18085    0.95385    1.05265   
536.93     2.35398    1.13886    1.04132    0.99061    0.99804    1.62036    1.39038    1.18101    0.95387    1.05269   
541.71     2.31768    1.13568    1.03954    0.99074    0.99939    1.62332    1.39099    1.18117    0.95389    1.05272   
546.48     2.28276    1.13259    1.03782    0.99088    1.00072    1.62624    1.39160    1.18132    0.95391    1.05276   
551.26     2.24917    1.12959    1.03615    0.99101    1.00203    1.62910    1.39219    1.18147    0.95393    1.05279   
556.03     2.21682    1.12668    1.03455    0.99115    1.00333    1.63192    1.39277    1.18162    0.95395    1.05282   
560.80     2.18566    1.12385    1.03300    0.99129    1.00462    1.63468    1.39334    1.18177    0.95396    1.05286   
565.58     2.15564    1.12109    1.03150    0.99143    1.00590    1.63740    1.39391    1.18191    0.95398    1.05289   
570.35     2.12669    1.11842    1.03005    0.99157    1.00717    1.64008    1.39446    1.18206    0.95400    1.05292   
575.13     2.09877    1.11582    1.02865    0.99171    1.00842    1.64271    1.39500    1.18220    0.95401    1.05295   
579.90     2.07183    1.11329    1.02730    0.99186    1.00966    1.64530    1.39554    1.18233    0.95403    1.05299   
584.67     2.04582    1.11082    1.02599    0.99200    1.01088    1.64785    1.39607    1.18247    0.95405    1.05302   
589.45     2.02071    1.10843    1.02472    0.99214    1.01209    1.65035    1.39658    1.18260    0.95406    1.05305   
594.22     1.99644    1.10610    1.02350    0.99228    1.01330    1.65282    1.39709    1.18273    0.95408    1.05308   
598.99     1.97298    1.10383    1.02232    0.99243    1.01448    1.65524    1.39759    1.18286    0.95410    1.05311   
603.77     1.95030    1.10161    1.02117    0.99257    1.01566    1.65763    1.39808    1.18298    0.95411    1.05313   
608.54     1.92836    1.09946    1.02006    0.99271    1.01682    1.65998    1.39857    1.18311    0.95413    1.05316   
613.32     1.90713    1.09736    1.01899    0.99286    1.01797    1.66230    1.39905    1.18323    0.95414    1.05319   
618.09     1.88658    1.09532    1.01795    0.99300    1.01911    1.66457    1.39952    1.18335    0.95416    1.05322   
622.86     1.86668    1.09332    1.01695    0.99314    1.02024    1.66682    1.39998    1.18347    0.95417    1.05325   
627.64     1.84740    1.09138    1.01598    0.99329    1.02136    1.66903    1.40043    1.18359    0.95418    1.05327   
632.41     1.82873    1.08949    1.01504    0.99343    1.02246    1.67120    1.40088    1.18370    0.95420    1.05330   
637.19     1.81062    1.08764    1.01413    0.99357    1.02355    1.67334    1.40132    1.18381    0.95421    1.05332   
641.96     1.79306    1.08584    1.01325    0.99372    1.02463    1.67545    1.40176    1.18393    0.95423    1.05335   
646.73     1.77603    1.08408    1.01239    0.99386    1.02570    1.67753    1.40218    1.18403    0.95424    1.05337   
